BioWare Version 5.3.0.7 Export
Device:	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 1L 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA	Stara 2P 9286AA
Samples (#):	6000	6000	6000	6000	6000	6000	6000	6000	6000	6000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	5998	5998	5998	5998	5998	5999	5999	5999	5999	5999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000	29.990000	29.995001	29.995001	29.995001	29.995001	29.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Nov 11, 2022  11:19:19
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Ax	Ay	Fx	Fy	Fz	Ax	Ay
	N	N	N	m	m	N	N	N	m	m
0.530000	0.209597	0.266283	1.941706	-0.007738	-0.096140	3.499027	0.986252	542.743622	-0.000844	-0.019756
0.535000	0.911133	0.966032	8.535477	-0.010614	0.009794	4.588943	1.377884	546.528267	-0.000768	-0.019461
0.540000	0.131506	0.188392	0.900148	0.187710	-0.098930	3.654690	-0.032429	537.929947	-0.000639	-0.020244
0.545000	-1.504881	-1.132898	-12.289364	0.000000	0.000000	2.642744	-1.129341	529.676819	-0.000388	-0.021228
0.550000	-0.335760	-0.277685	-3.265292	0.000000	0.000000	4.432726	0.437431	545.497253	-0.000654	-0.019980
0.555000	0.521320	0.499638	6.106359	-0.023415	-0.000247	5.678028	1.142231	554.093636	-0.001011	-0.018843
0.560000	-0.491940	-0.511040	-4.307244	0.000000	0.000000	5.677193	0.906815	553.064972	-0.000687	-0.019039
0.565000	-0.413850	-0.588614	-1.877337	0.000000	0.000000	5.288176	0.280006	547.906036	-0.000573	-0.019713
0.570000	0.053416	0.033561	0.899754	-0.215536	-0.308259	5.754608	0.671158	550.312897	-0.000696	-0.019813
0.575000	1.222538	0.888775	11.312174	-0.019356	-0.009378	6.454674	1.219254	553.413673	-0.000173	-0.019894
0.580000	0.287368	0.266283	1.246545	0.084167	0.003605	6.065655	0.749146	547.565086	-0.000275	-0.020262
0.585000	-0.648120	-0.355258	-5.695593	0.000000	0.000000	5.287342	0.200329	541.029922	-0.000143	-0.021711
0.590000	-0.179898	-0.199794	-2.571315	0.000000	0.000000	6.142792	0.983597	552.035500	-0.000381	-0.020278
0.595000	-1.115386	-0.977751	-10.554617	0.000000	0.000000	4.663303	-0.034843	545.840149	-0.000773	-0.020121
0.600000	0.287368	0.111135	4.718404	-0.003518	-0.038886	4.818966	1.061825	552.715469	-0.001198	-0.019571
0.605000	2.002164	1.899137	17.559547	-0.013419	0.003536	5.207981	1.845093	559.596626	-0.000977	-0.019698
0.610000	0.442911	0.499638	6.800731	-0.020791	-0.028300	3.262339	0.669952	548.932785	-0.001038	-0.019863
0.615000	0.754953	0.810884	4.717220	0.020134	0.038824	3.806461	1.688633	555.465218	-0.001366	-0.019158
0.620000	-0.491940	-0.588614	-4.653641	0.000000	0.000000	2.638853	0.983837	548.928520	-0.001452	-0.020219
0.625000	-0.102127	-0.121903	-2.570921	0.000000	0.000000	3.572830	2.002277	560.966652	-0.001553	-0.018644
0.630000	0.287050	0.189026	2.980897	-0.066620	0.033816	3.261503	1.610886	560.278923	-0.001543	-0.018314
0.635000	0.365140	0.422064	4.370430	-0.018028	0.021941	3.416889	1.767830	561.652824	-0.001758	-0.017938
0.640000	0.053416	-0.044330	0.898964	0.054772	-0.093727	2.015924	0.827618	549.959541	-0.001533	-0.019317
0.645000	-0.569712	-0.433466	-4.306851	0.000000	0.000000	0.848869	-0.112350	541.704094	-0.001517	-0.020273
0.650000	0.754953	0.499638	7.494708	-0.019755	-0.000216	2.328083	0.827862	548.924660	-0.001878	-0.019181
0.655000	0.131506	0.266283	-0.141804	0.000000	0.000000	2.872765	1.533138	552.023476	-0.001559	-0.018930
0.660000	0.287368	0.421747	1.594126	-0.048655	-0.179208	2.717100	1.533138	551.334198	-0.001773	-0.018265
0.665000	-0.101808	-0.122537	-0.835782	0.000000	0.000000	2.328083	0.985043	546.171417	-0.002110	-0.018936
0.670000	0.365140	0.577212	5.065591	0.008462	0.055995	2.328083	1.141747	546.861481	-0.001887	-0.018228
0.675000	-0.569393	-0.433466	-5.000038	0.000000	0.000000	1.239000	0.280006	535.511452	-0.001781	-0.019463
0.680000	0.442911	0.577212	5.412382	-0.003661	-0.000534	2.484024	1.298691	546.859535	-0.002113	-0.017889
0.685000	0.287368	0.266283	3.329661	-0.077974	-0.056260	2.951290	1.690323	550.299339	-0.002115	-0.017791
0.690000	0.053416	-0.044330	0.900148	0.189618	-0.093242	3.184921	1.847263	553.391960	-0.002436	-0.017185
0.695000	-0.413850	-0.355258	-4.654035	0.000000	0.000000	2.873598	1.141987	548.233437	-0.002342	-0.017836
0.700000	0.131506	0.111135	0.552174	-0.023848	0.013927	3.185200	1.377403	550.983566	-0.002558	-0.016727
0.705000	0.599091	0.732994	7.842289	-0.026198	-0.013049	3.263170	1.534344	550.297783	-0.002346	-0.017096
0.710000	-0.335760	-0.200111	-2.571315	0.000000	0.000000	2.329195	0.829308	542.046608	-0.001908	-0.018027
0.715000	1.846303	1.821563	17.559547	-0.013224	0.003634	3.964350	2.396564	552.360939	-0.002364	-0.017411
0.720000	0.053416	-0.044646	1.247729	-0.009454	-0.297083	2.797016	1.378124	539.982643	-0.001937	-0.018120
0.725000	0.599410	0.499638	6.106359	-0.023697	-0.000247	4.353922	2.474796	550.983566	-0.002605	-0.016770
0.730000	-0.102127	-0.122537	-1.530546	0.000000	0.000000	4.042873	1.926464	541.697510	-0.002535	-0.016864
0.735000	-0.024037	0.033245	-0.141804	0.000000	0.000000	3.809519	1.456596	533.785370	-0.002684	-0.017626
0.740000	0.677181	0.421747	5.758779	-0.014862	0.016634	5.366425	2.710449	539.974121	-0.002933	-0.017825
0.745000	-1.115386	-0.899860	-10.554617	0.000000	0.000000	4.121956	1.065449	524.839867	-0.002981	-0.018273
0.750000	-0.101808	-0.044646	-1.529363	0.000000	0.000000	5.444672	2.240833	536.873726	-0.003517	-0.017380
0.755000	-2.284189	-1.755074	-17.495968	0.000000	0.000000	3.888044	0.752525	526.206795	-0.003878	-0.018931
0.760000	-0.413532	-0.511040	-4.306061	0.000000	0.000000	5.833969	2.633190	545.807983	-0.004348	-0.017111
0.765000	-0.180217	0.111135	-2.570131	0.000000	0.000000	4.666082	2.319782	545.456543	-0.005077	-0.017283
0.770000	-0.335760	-0.433466	-1.876943	0.000000	0.000000	2.096952	0.596066	537.207710	-0.004386	-0.018182
0.775000	0.911133	0.966032	7.147521	0.004287	-0.014959	2.563662	1.849682	549.926971	-0.005057	-0.017294
0.780000	-0.101808	-0.044646	0.205777	0.255541	-0.408900	0.461798	0.674538	539.262360	-0.005194	-0.018818
0.785000	-0.491622	-0.433466	-2.917712	0.000000	0.000000	-1.094830	-0.344143	530.661713	-0.005336	-0.019974
0.790000	-0.024037	0.033245	1.594916	-0.044249	-0.054035	0.228165	0.752769	544.071785	-0.005797	-0.017959
0.795000	-1.270930	-1.133532	-11.248595	0.000000	0.000000	-1.250771	-0.344143	536.847374	-0.005934	-0.018685
0.800000	0.521638	0.343857	6.107149	-0.043311	0.000279	-0.862030	0.125721	543.036903	-0.006097	-0.017794
0.805000	-0.257988	-0.355893	-3.958480	0.000000	0.000000	-2.496071	-1.519527	529.279655	-0.005975	-0.019621
0.810000	0.833361	0.810567	7.494708	-0.019985	-0.001128	-0.939444	-0.501087	539.941544	-0.006021	-0.019097
0.815000	-0.569712	-0.355893	-5.696383	0.000000	0.000000	-1.172800	-0.971432	536.502136	-0.006054	-0.019200
0.820000	0.755271	0.888141	7.841499	-0.011142	-0.013458	0.072224	-0.109695	543.721916	-0.006349	-0.018807
0.825000	1.223175	1.121180	10.269433	-0.003554	0.017095	2.329195	1.300137	560.575684	-0.006337	-0.017113
0.830000	-0.335760	-0.200111	-2.224524	0.000000	0.000000	1.551159	0.046524	549.911858	-0.006549	-0.017567
0.835000	-0.491622	-0.589248	-3.265292	0.000000	0.000000	1.317804	-0.580524	544.067528	-0.006284	-0.018599
0.840000	0.599091	0.576895	5.411592	-0.004322	-0.035818	2.018425	-0.345833	545.788200	-0.006180	-0.018723
0.845000	0.210233	0.033245	2.288497	-0.033211	-0.204538	2.173811	-0.581009	545.442986	-0.006301	-0.018900
0.850000	0.209278	0.343857	1.246545	0.085545	0.002236	2.641075	-0.894650	543.723473	-0.006231	-0.020165
0.855000	-0.024037	-0.044646	0.205777	0.247226	-0.408900	2.641075	-1.678398	539.252258	-0.006176	-0.020830
0.860000	0.287368	0.343857	1.939339	-0.008416	0.099676	4.431057	-0.503742	552.662354	-0.006629	-0.019170
0.865000	-0.257988	-0.044646	-0.141804	0.000000	0.000000	4.041206	-1.287735	549.908737	-0.006868	-0.019234
